instance,balance_load,total_vehicles,safe_vehicles,p_safe
3l_cvrp14_2,0.09869261573961956,11,7,0.6363636363636364
3l_cvrp14_3,0.08162881262885534,11,10,0.9090909090909091
3l_cvrp14_4,0.08435049182519315,11,11,1.0
3l_cvrp14_5,0.08626391140581416,11,9,0.8181818181818182
3l_cvrp14_6,0.06601679861860334,11,10,0.9090909090909091
3l_cvrp14_7,0.10361651879434121,11,9,0.8181818181818182
3l_cvrp14_8,0.08650139774317367,11,9,0.8181818181818182
3l_cvrp14_9,0.08219952229868754,11,9,0.8181818181818182
3l_cvrp15_0,0.11712185261426104,11,8,0.7272727272727273
3l_cvrp15_1,0.08707755546742017,10,8,0.8
3l_cvrp15_2,0.0747301655307613,10,8,0.8
3l_cvrp15_3,0.09895396224517197,10,9,0.9
3l_cvrp15_4,0.048578020581218996,10,10,1.0
3l_cvrp15_5,0.06540942811031507,10,10,1.0
3l_cvrp15_6,0.09033420096397961,10,9,0.9
3l_cvrp15_7,0.0905402883436509,10,8,0.8
3l_cvrp15_8,0.044230137002126364,10,10,1.0
3l_cvrp15_9,0.07339064331595191,10,9,0.9
3l_cvrp16_0,0.10741027929226221,12,9,0.75
3l_cvrp16_1,0.0883106534392885,12,11,0.9166666666666666
3l_cvrp16_2,0.10737557866197554,13,12,0.9230769230769231
3l_cvrp16_3,0.0972147335114031,13,12,0.9230769230769231
3l_cvrp16_4,0.12484070292825092,13,9,0.6923076923076923
3l_cvrp16_5,0.10031668737891164,12,11,0.9166666666666666
3l_cvrp16_6,0.1177376879461386,12,8,0.6666666666666666
3l_cvrp16_7,0.11952582088235782,12,10,0.8333333333333334
3l_cvrp16_8,0.09959726275643836,12,11,0.9166666666666666
3l_cvrp16_9,0.11935615953494315,12,9,0.75
3l_cvrp17_0,0.12604023344998783,16,14,0.875
3l_cvrp17_1,0.13636594736736413,16,11,0.6875
3l_cvrp17_2,0.13522997408735704,16,11,0.6875
3l_cvrp17_3,0.14194192320950202,16,11,0.6875
3l_cvrp17_4,0.11129461462650156,15,10,0.6666666666666666
3l_cvrp17_5,0.12511917191354244,16,11,0.6875
3l_cvrp17_6,0.12624435033571524,16,10,0.625
3l_cvrp17_7,0.13214148111370913,16,11,0.6875
3l_cvrp17_8,0.11929443172289837,16,11,0.6875
3l_cvrp17_9,0.11393650199810919,16,12,0.75
3l_cvrp18_0,0.07706370485581973,14,12,0.8571428571428571
3l_cvrp18_1,0.06607092534039201,14,9,0.6428571428571429
3l_cvrp18_2,0.09090310291454415,14,11,0.7857142857142857
3l_cvrp18_3,0.10146665565459977,14,10,0.7142857142857143
3l_cvrp18_4,0.06607092534039201,14,9,0.6428571428571429
3l_cvrp18_5,0.1043171687137817,14,11,0.7857142857142857
3l_cvrp18_6,0.09915633031511792,14,10,0.7142857142857143
3l_cvrp18_7,0.10017628304898737,14,12,0.8571428571428571
3l_cvrp18_8,0.09561652956638181,14,11,0.7857142857142857
3l_cvrp18_9,0.06607092534039201,14,9,0.6428571428571429
3l_cvrp19_0,0.09646753356337727,17,11,0.6470588235294118
3l_cvrp19_1,0.09646753356337727,17,11,0.6470588235294118
3l_cvrp19_2,0.09646753356337727,17,11,0.6470588235294118
3l_cvrp19_3,0.09646753356337727,17,11,0.6470588235294118
3l_cvrp19_4,0.09646753356337727,17,11,0.6470588235294118
3l_cvrp19_5,0.09646753356337727,17,11,0.6470588235294118
3l_cvrp19_6,0.09646753356337727,17,11,0.6470588235294118
3l_cvrp19_7,0.09646753356337727,17,11,0.6470588235294118
3l_cvrp19_8,0.09646753356337727,17,11,0.6470588235294118
3l_cvrp19_9,0.09646753356337727,17,11,0.6470588235294118
3l_cvrp20_0,0.08216965827313583,22,14,0.6363636363636364
3l_cvrp20_1,0.08216965827313583,22,14,0.6363636363636364
3l_cvrp20_2,0.08216965827313583,22,14,0.6363636363636364
3l_cvrp20_3,0.08216965827313583,22,14,0.6363636363636364
3l_cvrp20_4,0.08216965827313583,22,14,0.6363636363636364
3l_cvrp20_5,0.08216965827313583,22,14,0.6363636363636364
3l_cvrp20_6,0.08216965827313583,22,14,0.6363636363636364
3l_cvrp20_7,0.08216965827313583,22,14,0.6363636363636364
3l_cvrp20_8,0.08216965827313583,22,14,0.6363636363636364
3l_cvrp20_9,0.08216965827313583,22,14,0.6363636363636364
3l_cvrp21_0,0.05077559652878982,21,12,0.5714285714285714
3l_cvrp21_1,0.05077559652878982,21,12,0.5714285714285714
3l_cvrp21_2,0.05077559652878982,21,12,0.5714285714285714
3l_cvrp21_3,0.05077559652878982,21,12,0.5714285714285714
3l_cvrp21_4,0.05077559652878982,21,12,0.5714285714285714
3l_cvrp21_5,0.05077559652878982,21,12,0.5714285714285714
3l_cvrp21_6,0.05077559652878982,21,12,0.5714285714285714
3l_cvrp21_7,0.05077559652878982,21,12,0.5714285714285714
3l_cvrp21_8,0.05077559652878982,21,12,0.5714285714285714
3l_cvrp21_9,0.05077559652878982,21,12,0.5714285714285714
3l_cvrp22_0,0.05233759455473055,23,13,0.5652173913043478
3l_cvrp22_1,0.05233759455473055,23,13,0.5652173913043478
3l_cvrp22_2,0.05233759455473055,23,13,0.5652173913043478
3l_cvrp22_3,0.05233759455473055,23,13,0.5652173913043478
3l_cvrp22_4,0.05233759455473055,23,13,0.5652173913043478
3l_cvrp22_5,0.05233759455473055,23,13,0.5652173913043478
3l_cvrp22_6,0.05233759455473055,23,13,0.5652173913043478
3l_cvrp22_7,0.05233759455473055,23,13,0.5652173913043478
3l_cvrp22_8,0.05233759455473055,23,13,0.5652173913043478
3l_cvrp22_9,0.05233759455473055,23,13,0.5652173913043478
3l_cvrp23_0,0.0702407076231866,22,20,0.9090909090909091
3l_cvrp23_1,0.07193739977588542,22,16,0.7272727272727273
3l_cvrp23_2,0.07193739977588542,22,16,0.7272727272727273
3l_cvrp23_3,0.07193739977588542,22,16,0.7272727272727273
3l_cvrp23_4,0.06409754841636774,22,21,0.9545454545454546
3l_cvrp23_5,0.07193739977588542,22,16,0.7272727272727273
3l_cvrp23_6,0.07193739977588542,22,16,0.7272727272727273
3l_cvrp23_7,0.06699231068572532,22,18,0.8181818181818182
3l_cvrp23_8,0.07193739977588542,22,16,0.7272727272727273
3l_cvrp23_9,0.054716035258970154,22,20,0.9090909090909091
3l_cvrp24_0,0.06071230406156536,21,13,0.6190476190476191
3l_cvrp24_1,0.06071230406156536,21,13,0.6190476190476191
3l_cvrp24_2,0.06071230406156536,21,13,0.6190476190476191
3l_cvrp24_3,0.06071230406156536,21,13,0.6190476190476191
3l_cvrp24_4,0.06071230406156536,21,13,0.6190476190476191
3l_cvrp24_5,0.06071230406156536,21,13,0.6190476190476191
3l_cvrp24_6,0.06071230406156536,21,13,0.6190476190476191
3l_cvrp24_7,0.06071230406156536,21,13,0.6190476190476191
3l_cvrp24_8,0.06071230406156536,21,13,0.6190476190476191
3l_cvrp24_9,0.06071230406156536,21,13,0.6190476190476191
3l_cvrp25_0,0.04753517775385178,27,14,0.5185185185185185
3l_cvrp25_1,0.04753517775385178,27,14,0.5185185185185185
3l_cvrp25_2,0.04753517775385178,27,14,0.5185185185185185
3l_cvrp25_3,0.04753517775385178,27,14,0.5185185185185185
3l_cvrp25_4,0.04753517775385178,27,14,0.5185185185185185
3l_cvrp25_5,0.04753517775385178,27,14,0.5185185185185185
3l_cvrp25_6,0.04753517775385178,27,14,0.5185185185185185
3l_cvrp25_7,0.04753517775385178,27,14,0.5185185185185185
3l_cvrp25_8,0.04753517775385178,27,14,0.5185185185185185
3l_cvrp25_9,0.04753517775385178,27,14,0.5185185185185185
3l_cvrp26_0,0.04794605394663053,29,21,0.7241379310344828
3l_cvrp26_1,0.04794605394663053,29,21,0.7241379310344828
3l_cvrp26_2,0.04794605394663053,29,21,0.7241379310344828
