instance,distance,fill_rate,calculation_time
3l_cvrp04.txt,473.8670115720697,7,0.3159047619047619,39.49151825904846
3l_cvrp04.txt,508.6666641583902,7,0.3159047619047619,40.46999764442444
3l_cvrp04.txt,491.7923753116521,7,0.3159047619047619,38.40182948112488
3l_cvrp05.txt,584.0552910889915,8,0.36685,54.97960019111633
3l_cvrp05.txt,599.1033808961515,8,0.36685,54.7800076007843
3l_cvrp05.txt,534.7015781858009,7,0.4192571428571429,72.46871161460876
3l_cvrp05.txt,603.0501831888215,8,0.36685,52.15154814720154
3l_cvrp05.txt,593.9469096324293,7,0.4192571428571429,54.534491300582886
3l_cvrp05.txt,553.489449353175,7,0.4192571428571429,53.88977932929993
3l_cvrp05.txt,557.674830381693,7,0.4192571428571429,61.2536461353302
3l_cvrp05.txt,523.6130770964996,7,0.4192571428571429,72.2718198299408
3l_cvrp05.txt,590.8204336296708,7,0.4192571428571429,66.5531358718872
3l_cvrp05.txt,543.0573631920745,7,0.4192571428571429,52.37411713600159
3l_cvrp06.txt,555.108462832467,7,0.3190857142857143,46.40026831626892
3l_cvrp06.txt,542.9714873984416,7,0.3190857142857143,49.61955666542053
3l_cvrp06.txt,547.8781428867107,7,0.3190857142857143,48.840983867645264
3l_cvrp06.txt,521.8867118964048,7,0.3190857142857143,56.419917583465576
3l_cvrp06.txt,531.1681993202087,7,0.3190857142857143,53.7164888381958
3l_cvrp06.txt,541.8183408213073,7,0.3190857142857143,46.28877806663513
3l_cvrp06.txt,527.5756163340742,7,0.3190857142857143,48.2169828414917
3l_cvrp06.txt,563.3370319607841,7,0.3190857142857143,62.82551693916321
3l_cvrp06.txt,545.5358131596681,7,0.3190857142857143,83.39971113204956
3l_cvrp06.txt,536.715527111932,7,0.3190857142857143,62.35295343399048
3l_cvrp07.txt,1661.728477848991,8,0.35768055555555556,53.54988765716553
3l_cvrp07.txt,1661.728477848991,8,0.35768055555555556,38.709001541137695
3l_cvrp07.txt,1661.728477848991,8,0.35768055555555556,35.60644006729126
3l_cvrp07.txt,1661.728477848991,8,0.35768055555555556,35.62584447860718
3l_cvrp07.txt,1661.728477848991,8,0.35768055555555556,44.20428919792175
3l_cvrp07.txt,1661.728477848991,8,0.35768055555555556,46.65299892425537
3l_cvrp07.txt,1661.728477848991,8,0.35768055555555556,42.09583139419556
3l_cvrp07.txt,1661.728477848991,8,0.35768055555555556,43.48847413063049
3l_cvrp07.txt,1661.728477848991,8,0.35768055555555556,40.25151515007019
3l_cvrp07.txt,1661.728477848991,8,0.35768055555555556,43.384124517440796
3l_cvrp08.txt,970.3054411362034,8,0.35373333333333334,54.29882884025574
3l_cvrp08.txt,991.6632606125123,8,0.35373333333333334,52.28089737892151
3l_cvrp08.txt,969.5352757532442,7,0.40426666666666666,53.00485396385193
3l_cvrp08.txt,1060.114935139393,7,0.40426666666666666,48.44507670402527
3l_cvrp08.txt,1470.3869700428977,9,0.3144296296296296,39.2079017162323
3l_cvrp08.txt,1470.3869700428977,9,0.3144296296296296,45.81216907501221
3l_cvrp08.txt,934.8439088366894,7,0.40426666666666666,61.11749482154846
3l_cvrp08.txt,988.7367834902683,7,0.40426666666666666,49.21131706237793
3l_cvrp08.txt,989.642108555841,7,0.40426666666666666,52.05512714385986
3l_cvrp08.txt,935.5442040149466,7,0.40426666666666666,66.05851936340332
3l_cvrp09.txt,746.7293373680383,10,0.3614777777777778,75.19853734970093
3l_cvrp09.txt,731.5277280880258,10,0.3614777777777778,79.73394346237183
3l_cvrp09.txt,748.2913626913646,10,0.3614777777777778,83.10347771644592
3l_cvrp09.txt,733.1529567304177,10,0.3614777777777778,82.87903213500977
3l_cvrp09.txt,744.2958061589962,10,0.3614777777777778,78.87706804275513
3l_cvrp09.txt,740.8714270938518,10,0.3614777777777778,86.40964818000793
3l_cvrp09.txt,717.5789432787986,10,0.3614777777777778,128.11542868614197
3l_cvrp09.txt,731.5749855509296,10,0.3614777777777778,87.23589205741882
3l_cvrp09.txt,755.9647652469965,10,0.3614777777777778,93.87291526794434
3l_cvrp09.txt,737.3615911124433,10,0.3614777777777778,113.7557737827301
3l_cvrp10.txt,1274.8050704647048,10,0.40197555555555553,164.6473743915558
3l_cvrp10.txt,1333.1040041830713,10,0.40197555555555553,186.77297806739807
3l_cvrp10.txt,1404.1800009829965,10,0.40197555555555553,191.5125391483307
3l_cvrp10.txt,1277.126705417293,9,0.4466395061728395,190.8603711128235
